ID,Main Category,Sub Categories,Title,Description,Ring Size,Length,Packaging,Price,Image URL
131292445,古巴產品,限量款,大卫杜夫 温斯顿丘吉尔 丘吉尔 2025年限量版 10支 178*48 Winston Churchill Churchill,大卫杜夫温斯顿・丘吉尔系列2025年限量版是对传奇的致敬，是品味的极致表达，限量版的包装设计，是对丘吉尔艺术生涯的深情回溯。限量18000个盒子；丘吉尔型是丘吉尔爵士的最爱，其优雅形态宛如爵士手中那支挥洒自如的画笔。丘吉尔爵士深知均衡调配的精髓所在，这一美学同样贯穿于雪雪的调配之中。大卫杜夫的匠人们秉持对此品质的虔诚，精心甄选烟叶，开启了一段全新的品鉴之旅。限量版以坚果、黑咖啡及雪松木为基调。其中源自Martin Garcia风土区的茄套烟叶得益于充足的阳光与肥沃的土壤，赋予了独特的复杂层次与甜蜜韵味，让人回味无穷。前段坚果香与焦糖、牛轧糖甜韵轻柔开场，中段浓郁咖啡香携烤坚果、胡椒与柑橘的灵动音符澎湃涌起，后段雪松木与生姜、香料的清新余音袅袅，层次跌宕，回味悠长。,48,178mm,N/A,MOP$3388.00,https://img.pospal.cn/productImages/3823360/3b003383-dfe4-4e1a-a6f1-1ae65bedb536_200x200.jpg
133189696,古巴產品,限量款,大卫杜夫 50周年香港纪念版-港澳地区限定(全球限量3000盒) 10支 152*52 Davidoff Of Geneva 50 Years In HongKong,这款限量版盒盖展示了令人惊叹的香港地标性建筑，盒身则以金箔装饰，彰显了这款雪雪所承载的地域文化和独特风格。限量3000个盒子，每盒均有独立编号，仅在香港及澳门发售，爱好者的珍藏首选。大卫杜夫香港50周年限量版，不仅仅是一款全新的雪茄，更是一段历史与文化的璀璨传承。1974年，大卫杜夫在香港半岛酒店开设了亚洲第一家门店。70年代的香港，洋溢着五光十色的繁华，也以美味的街头小吃而闻名。灵感正源于这一时期的香港，仿佛让人置身于当时繁华的街头，各种诱人的香气扑鼻而来。同时，烟叶相加超过50年的陈年时间，承载着品牌为了庆祝这一里程碑而倾注的独特心思！大卫杜夫的首席调配师们从70年代的香港街头特色文化中提取灵感，创造了这一独特的烟叶调配，烟叶的总陈年时间如亚洲首店——半岛酒店门店一样，长达半个世纪。品味这款雪雪时，将邂逅橡木、黑巧克力、甘草的美妙风味，橡木气息与浓郁的甜美交织，伴随着黑巧克力和甘草的香气，完美呈现了1970年代香港饮食文化的风味与精髓。,52,152mm,10支,MOP$3880.00,https://img.pospal.cn/productImages/3823360/3b98ba59-a6b8-416e-803c-756887e6f6dd_200x200.jpg
80243218,古巴產品,限量款,大卫杜夫 虎年限量 2022年 10支 127*52 Tiger,,52,127mm,10支,MOP$4188.00/澳门币,https://img.pospal.cn/productImages/3896373/2ee22372-6674-4a86-ac5b-2b0af2d6a356_200x200.jpg
111704064,古巴產品,限量款,大卫杜夫 龙年 2024限量双皇冠 10支 190*50 Dragon,浓度：3.5。食用时间：80-100分钟。龙年限量颂扬了龙及其迷人的个性。其包装盒高贵典雅，饰有彩虹漆鳞片图案，体现龙的力量。龙形标志中央上镶嵌着一颗珍珠，在中国文化中珍珠是智慧、繁荣和幸运的象征。由 8 种不同的草叶混合而成的中等浓郁雪雪，叶龄共计 60 年，为您带来迷人的味觉体验。泥土、木头和草本植物的气息发展成坚果、奶油和甘草的浓郁香气。随后，新鲜香料和橡木的香味与黑巧克力的香味相得益彰。,50,190mm,10支,MOP$6380.00,https://img.pospal.cn/productImages/3896373/e8b3dea3-7bb3-49fb-894b-28f8db556edd_200x200.jpg
128408824,古巴產品,限量款,大卫杜夫 蛇年 2025限量长矛 10支 178*43 Snake,蛇年灵感来自蛇的优雅和神秘，这款雪雪具有细长的外形，让人联想到蛇优雅的身躯，其充满活力的动态风味令人惊喜，捕捉了蛇充满激情和活力的精神。 能享受到各种口味的交响乐，柠檬、皮革和咖啡的味道在口中翩翩起舞，不断变化和演变，以保持大卫杜夫独特的平衡。采用多米尼加圣维森特和墨西哥黑圣安德烈斯填充料精心制作，巧妙地刺激了味蕾的酸味和咸味感受器，增强了其新鲜、柠檬味的亮度，但又不会让人感到压抑。,43,178mm,10支,MOP$3980.00,https://img.pospal.cn/productImages/3823360/4b2ef2e0-76dc-43dd-944c-18a7ec12ced8_200x200.jpg
103765587,古巴產品,限量款,大卫杜夫 尼加拉瓜 大公牛10周年限量版 12支 152*56 Nicaragua Gran Toro,大卫杜夫尼加拉瓜10周年限量版为爱好者带来浓郁而浓郁的味觉冒险。最初以坚果的复杂风味而喜乐，而其尼加拉瓜填充烟草则增添了新鲜香料和皮革的味道。随着橡木、牛奶咖啡和耐人寻味的桉树味的味道演变，更辛辣的刺激慢慢消退。随着雪茄的结束，黑咖啡和新鲜香草加入了无处不在的品尝风味。,56,152mm,12支,MOP$3380.00,https://img.pospal.cn/productImages/3896373/ddd51db5-8419-417b-9e35-850334e37edf_200x200.jpg
85568326,古巴產品,限量款,大卫杜夫 顶级 公牛 2022年限量版 12支 152*58 Gran Toro,Gran Toro将甜辣的巴西烟草，火热，苦甜的尼加拉瓜烟草和多米尼加共和国Yamasá烟草的复杂性结合在一起，邀请爱好者发现一个未受破坏的，未知的新味觉区域。 更大的环径允许在填充剂中使用更多的标志性烟草，从而减少厄瓜多尔包装纸对味道的影响，并产生与皮革，咖啡和雪松木香气的平衡混合。 这款浓郁的雪茄需要一个具有类似冒险性格的配对伴侣，因此，它与多来源混合朗姆酒搭配得很好。 全球限量13500盒。,58,152mm,12支,MOP$5279.00/澳门币,https://img.pospal.cn/productImages/3896373/2cb7d7bc-8294-4cf8-9b3f-b2a669df4c2a_200x200.jpg
94293415,古巴產品,限量款,唯佳 兔年限量 2023年 16支 152*50 Rabbit,为了庆祝2023中国农历新年，特别推出唯佳兔年限量版雪茄，灵感源自中国传统十二生肖。唯佳为了这个特别的节日。精心甄选来自多米尼加、尼加拉瓜及厄瓜多尔的优质烟叶，拥有丰富和馥郁的香气；卷制成精致的鱼雷雪茄、带来雪松、可可及咖啡的浓郁口感。唯售免年限量版雪茄盒，以精致的金色图腾装饰着优雅的红色木盒，寓意吉祥如意，每盒两层，每层各8支雪茄(8代表中国的幸运数字),50,152mm,N/A,MOP$2013.00/澳门币,https://img.pospal.cn/productImages/3896373/d8082f9f-5ee0-45a1-850e-a90079d1bb0f_200x200.jpg
97544500,古巴產品,限量款,高希霸 55周年 2021年限量版 10支 150*57 Aniversario,,57,150mm,10支,MOP$52880.00/澳门币,https://img.pospal.cn/productImages/3896373/de91bf51-e2ed-44f7-be0e-328c84e0cce6_200x200.jpg
80539686,古巴產品,限量款,高希霸 短号保湿盒 虎年限量 88支 82*27 Short,,27,82mm,88支,MOP$2780.00/澳门币,https://img.pospal.cn/productImages/3896373/3d74da97-ddd4-4b84-9315-ddc3ce58ce69_200x200.jpg
