SKU,Title,Brand,Description,Price,H Price,Stock,Dimensions,Length,Ring Size,Packaging,Tags,Image URL,Product URL
ROM038,罗密欧．朱丽叶/罗密欧 普列图 (5x10) 【109×27】Romeo Y Julieta Puritos,罗密欧．朱丽叶/罗密欧,,420,440,10,109mm x 27,109,27,5x10支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_105-2.jpg,https://ktcigar.com/single/?sku=ROM038&id=35615
COB008,高希霸 俱乐部 (1套) (10×10支) 【97×22】Cohiba Club,高希霸,,740,770,10,97mm x 22,97,22,10×10支,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_458.jpg,https://ktcigar.com/single/?sku=COB008&id=33575
COB043,高希霸 迷你 (1套) (5×20支) 【82×20】Cohiba Mini,高希霸,,740,770,10,82mm x 20,82,20,5×20支,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_520.jpg,https://ktcigar.com/single/?sku=COB043&id=33609
PAR030,帕特加斯 系列俱乐部 (20×5) Partagás Serie Club,帕特加斯,,740,770,10,,,,20×5支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_131-2.jpg,https://ktcigar.com/single/?sku=PAR030&id=35149
MON085,蒙特 普列图 (5x10) Montecristo Puritos,蒙特,,820,860,10,,,,5x10支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_455-1.jpg,https://ktcigar.com/single/?sku=MON085&id=34853
COB063,高希霸 短号 (10×10支) (100支) 【82×27】Cohiba Short 100'S,高希霸,,1050,1100,10,82mm x 27,82,27,10×10支,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_174-1.jpg,https://ktcigar.com/single/?sku=COB063&id=33629
DV123,大卫杜夫 6支 精選魚雷礼盒 木盒 (6支/盒) Davidoff 6 Figurado Gift Selection,大卫杜夫,,1160,1210,10,,,,6支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/09/6%E6%94%AF-%E7%B2%BE%E9%81%B8%E9%AD%9A%E9%9B%B7%E7%A6%AE%E7%9B%92-%E6%9C%A8%E7%9B%92-6S-%E7%9B%92-DAVIDOFF-6-FIGURADO-GIFT-SELECTION.jpg,https://ktcigar.com/single/?sku=DV123&id=33818
MON093,蒙特 短號 2025蛇年 限量版 (1套) (66支/盒) Montecristo Short Year of the Snake 2025LE,蒙特,,1370,1430,10,,,,66支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2025/01/01_636.jpg,https://ktcigar.com/single/?sku=MON093&id=36442
COB094,高希霸 宽短/宽号 (1 套) (10×6支) 【100×32】Cohiba Wide Short,高希霸,,1580,1650,10,100mm x 32,100,32,10×6支,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_revised-02_384.jpg,https://ktcigar.com/single/?sku=COB094&id=33660
LUM004,路易马丁白银系列 水晶 罗伯图 (20支/盒) LUIS MARTINEZ SILVER SELECTION CRYSTAL ROBUSTO,路易马丁白银系列,,1580,1650,10,,,,20支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_878.jpg,https://ktcigar.com/single/?sku=LUM004&id=34747
GHB003,哈瓦那/伟大哈瓦那 科羅霍/科罗霍5號/5号(红色) 具象/鱼雷 (20支/盒) 【126×48】 GRAN HABANO COROJO NO.5 FIGURADO,哈瓦那/伟大哈瓦那,,1690,1760,10,126mm x 48,126,48,20支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/09/GRAN-HABANO-B-5-FIGURADO-COROJO-20S-%E7%9B%92-scaled.jpg,https://ktcigar.com/single/?sku=GHB003&id=34255
COB099,高希霸 短號 2025蛇年限量版 (1套) 88支 Cohiba Short Year of the Snake 2025LE,高希霸,,1790,1870,10,,,,,详+特+速,https://ktcigar.com/wp-content/uploads/2025/01/13_27.jpg,https://ktcigar.com/single/?sku=COB099&id=36443
DV113,大卫杜夫 亚玛撒罗伯图 (12支/盒) 【127×50】Davidoff Yamasa Robusto,大卫杜夫,,1790,1870,10,127mm x 50,127,50,12支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_YamasaCC81_Robusto_04_201.jpg,https://ktcigar.com/single/?sku=DV113&id=33807
MAC014,麦克纽杜启发红色托罗 (20支/盒) MACANUDO INSPIRADO RED TORO,麦克纽杜启发红色托罗,,1790,1870,10,,,,20支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_940.jpg,https://ktcigar.com/single/?sku=MAC014&id=34763
LAA046,狮子王 拉奥罗拉卓越/非凡 VI/6号 (25支/盒) 【146×48】LA AURORA EXCEPCIONALES VI,狮子王,,2000,2090,10,146mm x 48,146,48,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_13.jpg,https://ktcigar.com/single/?sku=LAA046&id=34620
LUM003,路易马丁白银系列 水晶 丘吉尔 (20支/盒) LUIS MARTINEZ SILVER SELECTION CRYSTAL CHURCHILL,路易马丁白银系列,,2000,2090,10,,,,20支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_304.jpg,https://ktcigar.com/single/?sku=LUM003&id=34746
DV054,大卫杜夫 尼加拉瓜大帝 (12支/盒) 【165×50】Davidoff Nicaragua Diadema,大卫杜夫,,2110,2200,10,165mm x 50,165,50,12支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_Nicaragua_Diadema_03_170.jpg,https://ktcigar.com/single/?sku=DV054&id=33748
DV111,大卫杜夫 亚玛撒鱼雷 (12支/盒) 【156×52】Davidoff Yamasa Piramides,大卫杜夫,,2110,2200,10,156mm x 52,156,52,12支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/Davidoff_YamasaCC81_Piramides_04_276.jpg,https://ktcigar.com/single/?sku=DV111&id=33805
ZIN003,季诺尼加拉瓜系列 托罗 (25支/盒) ZINO NICARAGUA TORO,季诺尼加拉瓜系列,,2320,2420,10,,,,25支/盒,详+特+速,https://ktcigar.com/wp-content/uploads/2024/05/01_178.jpg,https://ktcigar.com/single/?sku=ZIN003&id=35912
